id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,cta,time_to_cta_minutes
1947,4,41.90246,-87.63405,2,1.0,59.0,100.0,0.0,0.0,14,60,18,60,0,3,4,2,3.0,4.66
2384,1,41.7879,-87.5878,1,1.0,55.0,0.0,20.0,0.0,2,90,2,1125,22,322,178,30,0.0,99.45
4505,1,41.85495,-87.69696,7,1.0,117.0,0.0,30.0,20.0,2,60,2,60,0,146,394,27,2.0,6.39
7126,2,41.90289,-87.68182,2,1.0,80.0,0.0,0.0,0.0,2,60,2,60,29,335,384,48,1.0,14.01
9811,10,41.91769,-87.63788000000002,4,1.0,150.0,0.0,85.0,25.0,4,180,4,180,4,320,49,16,2.0,11.24
10610,5,41.79612,-87.59261,2,1.0,35.0,200.0,50.0,7.0,2,365,2,365,28,268,44,6,0.0,83.96
10945,10,41.91183,-87.64,4,1.0,215.0,0.0,100.0,25.0,4,180,4,180,8,302,17,8,3.0,3.1
12140,1,41.92335,-87.64950999999998,2,1.0,289.0,0.0,0.0,25.0,2,7,2,7,0,141,4,0,2.0,5.76
24833,8,41.926790000000004,-87.65521,3,1.0,99.0,200.0,80.0,10.0,32,395,32,395,30,90,37,0,3.0,4.03
25879,8,41.92693,-87.65753000000002,6,1.0,99.0,300.0,150.0,5.0,32,300,32,300,0,263,47,3,3.0,6.89
28749,3,41.92083,-87.6801,6,2.0,200.0,200.0,150.0,25.0,2,10,2,10,23,310,47,0,1.0,14.47
37738,2,41.97385,-87.66539,2,1.5,77.0,0.0,0.0,37.0,3,90,3,90,30,316,250,9,3.0,7.6
39742,1,41.89377,-87.63465,2,1.0,75.0,0.0,0.0,0.0,2,14,2,14,0,0,500,33,7.0,4.13
44020,8,41.92673,-87.65731,6,1.0,80.0,200.0,240.0,8.0,32,290,90,290,30,270,52,1,3.0,6.15
71930,3,41.89615,-87.67934,2,1.0,59.0,0.0,30.0,20.0,3,90,3,1125,0,176,67,9,,
79101,5,41.96792,-87.65756999999998,6,1.5,180.0,0.0,30.0,50.0,2,365,2,365,20,310,150,4,3.0,2.3
84042,3,41.89615,-87.67934,2,1.0,55.0,0.0,30.0,20.0,3,90,3,1125,23,171,75,21,,
110705,5,41.9693,-87.65621,2,1.0,99.0,0.0,0.0,0.0,2,365,2,365,20,310,148,16,4.0,2.5
126280,1,41.96852,-87.65225,1,1.0,48.0,0.0,20.0,15.0,3,365,3,1125,0,199,162,22,3.0,6.83
145659,21,41.94342,-87.68121,8,2.0,275.0,0.0,50.0,20.0,2,1125,5,1125,28,356,25,12,2.0,11.35
145690,21,41.912890000000004,-87.63864000000002,10,2.0,475.0,0.0,150.0,25.0,2,1125,5,1125,30,345,44,8,3.0,3.48
165952,8,41.94274,-87.67321,4,1.0,198.0,200.0,35.0,15.0,3,365,3,365,29,364,60,2,3.0,3.73
166667,8,41.94274,-87.67378000000002,3,1.0,125.0,200.0,25.0,10.0,3,365,3,365,30,365,88,10,3.0,4.52
166706,8,41.942209999999996,-87.67327,8,2.0,280.0,300.0,50.0,25.0,3,365,3,365,30,365,22,1,3.0,4.5
172616,5,41.897529999999996,-87.67315,3,1.0,72.0,0.0,45.0,10.0,7,150,15,150,30,135,67,10,1.0,13.95
175511,2,41.96012,-87.72158,4,1.0,67.0,100.0,100.0,30.0,3,365,4,365,30,365,33,14,3.0,17.74
184764,1,41.94325,-87.75403,2,1.0,85.0,150.0,50.0,10.0,3,1460,3,1460,0,334,162,2,0.0,41.95
189821,1,41.92918,-87.70219,5,1.0,125.0,0.0,40.0,20.0,2,28,4,1125,28,163,488,67,2.0,7.15
198135,1,41.95935,-87.67963,2,1.0,44.0,0.0,30.0,10.0,2,92,2,92,22,119,170,22,4.0,7.31
207218,1,41.6883,-87.60892,3,1.0,90.0,100.0,35.0,20.0,1,365,1,365,0,296,269,32,0.0,62.05
221109,1,41.89273,-87.65654,2,1.0,115.0,500.0,50.0,40.0,20,365,20,365,29,89,112,4,4.0,6.4
225314,1,41.92543,-87.69593,1,1.0,75.0,0.0,30.0,15.0,2,7,2,7,22,357,20,2,1.0,6.54
230836,3,41.96331,-87.66088,2,1.0,125.0,100.0,50.0,25.0,365,365,365,365,0,0,5,0,2.0,4.73
233933,2,41.95602,-87.72780999999998,2,1.0,55.0,100.0,20.0,10.0,2,30,2,30,29,179,153,20,2.0,6.72
248791,5,41.96797,-87.65791,2,1.5,90.0,0.0,10.0,25.0,2,365,2,365,20,310,97,3,3.0,2.08
250354,1,41.86051,-87.62399,2,1.0,170.0,300.0,50.0,25.0,180,365,180,365,23,358,39,0,3.0,12.12
258253,1,42.00692,-87.68438,2,1.0,48.0,200.0,60.0,50.0,32,90,32,90,27,362,20,2,0.0,80.27
261509,3,41.90314,-87.63494,2,1.0,149.0,200.0,100.0,50.0,32,1125,32,1125,13,242,62,0,3.0,4.91
264547,1,41.88467,-87.64487,3,1.5,195.0,750.0,80.0,50.0,10,180,10,180,27,362,65,4,6.0,4.79
267646,1,41.92716,-87.70470999999998,2,1.0,97.0,200.0,33.0,33.0,2,365,2,365,0,205,139,11,2.0,5.33
275496,1,41.88623,-87.6404,6,2.0,175.0,0.0,25.0,10.0,360,760,360,760,29,364,10,0,10.0,2.89
289689,1,41.977940000000004,-87.65764,1,1.0,26.0,0.0,0.0,0.0,30,1125,30,1125,22,231,61,3,4.0,1.23
289884,2,41.920629999999996,-87.68353,4,2.0,125.0,100.0,50.0,20.0,1,1124,1,1124,30,365,84,6,1.0,11.06
290155,2,41.82702000000001,-87.63967,6,1.5,130.0,200.0,0.0,0.0,3,90,5,1125,0,0,53,14,1.0,14.6
312192,2,41.82741,-87.63934,6,1.5,146.0,200.0,0.0,0.0,4,120,5,1125,0,0,39,8,1.0,14.78
313227,1,41.96331,-87.70916,2,1.0,85.0,100.0,75.0,0.0,3,7,3,7,0,118,47,0,3.0,4.15
345075,2,41.8077,-87.59436,2,1.0,85.0,200.0,20.0,20.0,2,8,2,8,26,336,232,18,0.0,87.07
349265,2,41.80086,-87.58948000000002,7,2.0,195.0,0.0,150.0,50.0,7,90,7,90,13,348,8,0,0.0,80.49
350347,1,41.939859999999996,-87.65473,4,2.0,136.0,150.0,100.0,0.0,3,14,3,1125,23,322,482,58,5.0,1.3
372929,3,41.89862,-87.65597,12,3.0,295.0,500.0,100.0,25.0,1,360,5,360,30,347,212,21,3.0,5.26
395257,18,41.82869,-87.62058,2,1.0,35.0,200.0,100.0,5.0,1,1125,1,1125,30,180,19,8,3.0,11.27
397472,1,42.01455,-87.66511,4,1.0,71.0,200.0,0.0,20.0,10,1000,10,1125,19,58,428,72,3.0,4.81
404792,3,41.88913,-87.66763,3,1.0,130.0,0.0,75.0,15.0,3,365,3,365,0,112,187,13,1.0,8.0
412182,2,41.91891,-87.69901999999998,4,1.0,69.0,0.0,25.0,20.0,2,1125,2,1125,21,23,143,26,2.0,5.88
422214,1,41.89843,-87.66659,16,4.0,250.0,500.0,125.0,25.0,3,90,3,90,29,349,131,14,2.0,8.67
446474,1,41.90095,-87.68181,5,2.0,175.0,0.0,80.0,20.0,3,60,3,60,0,265,4,0,1.0,16.08
450648,1,41.86614,-87.62275,2,1.0,119.0,200.0,75.0,35.0,3,1125,3,1125,0,112,38,0,2.0,5.46
464581,3,41.92451,-87.69385,4,1.0,49.0,0.0,49.0,15.0,2,360,7,1125,9,81,622,75,2.0,6.54
484898,1,41.97053,-87.67267,6,1.5,225.0,100.0,100.0,20.0,3,30,3,30,0,0,14,0,2.0,11.78
488097,1,41.91173,-87.6731,2,1.0,60.0,500.0,0.0,0.0,3,180,3,180,0,141,19,5,2.0,6.63
496809,3,42.00435,-87.67501,2,1.0,85.0,0.0,25.0,20.0,3,90,3,90,16,329,36,0,1.0,16.45
507517,1,41.96714,-87.69611,4,1.0,95.0,0.0,50.0,10.0,2,30,2,30,0,285,284,26,3.0,3.61
533831,2,41.91269000000001,-87.6425,8,2.5,280.0,250.0,145.0,45.0,2,365,4,1125,30,165,55,4,4.0,8.66
537419,2,41.942859999999996,-87.63919,1,1.0,130.0,500.0,25.0,25.0,1,30,1,30,30,365,28,0,0.0,42.48
542067,1,41.93142,-87.69989,4,1.0,125.0,0.0,40.0,25.0,3,31,3,31,0,325,260,17,1.0,10.51
548905,2,41.82293,-87.61559,3,1.0,85.0,350.0,50.0,15.0,2,32,2,32,15,341,227,19,2.0,10.18
573540,2,41.942840000000004,-87.63919,3,2.0,490.0,800.0,25.0,30.0,1,1125,1,1125,30,365,35,0,0.0,42.51
584590,4,41.96425,-87.68359,2,1.0,75.0,0.0,30.0,10.0,1,90,3,90,30,180,43,1,4.0,8.92
585353,6,41.88961,-87.66268000000002,3,2.0,42.0,150.0,25.0,20.0,1,60,1,60,0,284,127,15,3.0,13.31
585356,6,41.890029999999996,-87.66241,4,2.0,74.0,150.0,30.0,35.0,1,60,1,60,30,349,143,28,3.0,13.44
589939,6,41.89054,-87.66261,4,2.0,56.0,150.0,25.0,20.0,1,60,1,60,29,364,66,11,3.0,13.74
611839,1,41.93537,-87.67945999999998,1,1.0,42.0,0.0,30.0,0.0,2,60,2,1125,0,0,160,33,1.0,19.9
628149,6,41.89056,-87.66086,2,2.0,63.0,100.0,20.0,20.0,1,125,1,125,30,362,96,19,3.0,11.37
634310,2,41.99667,-87.66213,2,1.0,65.0,250.0,0.0,15.0,2,1125,2,1125,30,357,81,1,3.0,6.88
640841,2,41.94242,-87.67134,4,2.5,200.0,300.0,80.0,50.0,3,14,5,1125,30,229,46,25,3.0,2.38
642053,11,41.90567,-87.67311,4,1.0,81.0,0.0,35.0,0.0,2,365,3,365,30,136,11,3,2.0,7.64
642065,11,41.906859999999995,-87.67319,4,1.0,113.0,0.0,50.0,0.0,2,365,3,365,30,136,39,8,2.0,5.54
651742,2,41.99244,-87.75569,2,1.0,75.0,0.0,0.0,0.0,2,180,2,180,21,356,66,15,0.0,94.39
662034,2,41.99201,-87.75719000000002,2,1.0,65.0,0.0,0.0,0.0,2,180,2,180,29,364,66,15,0.0,95.15
681842,2,41.99348,-87.68121,1,1.0,50.0,200.0,9.0,40.0,3,10,3,10,28,363,26,5,0.0,104.53
697634,2,41.90302,-87.63499,4,1.0,99.0,300.0,95.0,0.0,31,1125,31,1125,0,0,150,3,3.0,4.96
699284,1,41.92929,-87.64895,12,3.0,800.0,1000.0,200.0,25.0,3,365,3,365,28,363,44,1,3.0,9.1
724895,6,41.889990000000004,-87.66096,2,2.0,44.0,100.0,20.0,15.0,1,30,1,30,30,336,130,20,3.0,11.89
726376,5,41.93932,-87.65218,2,1.0,85.0,0.0,0.0,15.0,7,65,7,65,28,37,623,60,5.0,1.82
727847,3,41.92255,-87.70293000000002,2,1.0,60.0,0.0,30.0,20.0,2,365,2,1125,30,365,73,8,2.0,5.94
731232,0,41.92669,-87.699,5,1.0,90.0,0.0,40.0,20.0,2,365,2,365,27,344,134,18,2.0,7.41
739495,1,41.97847,-87.68087,4,1.0,75.0,0.0,70.0,25.0,4,30,4,30,29,221,186,24,0.0,80.03
753809,81,41.88624,-87.61565999999998,3,1.0,94.0,0.0,80.0,0.0,31,1122,31,1122,30,365,13,0,4.0,14.53
755701,4,41.929970000000004,-87.72061,5,1.0,135.0,0.0,200.0,50.0,5,1125,5,1125,0,235,19,0,2.0,14.08
764856,3,41.886759999999995,-87.64935,2,1.0,159.0,200.0,35.0,0.0,2,120,2,120,29,154,235,60,3.0,3.91
773127,2,41.94994000000001,-87.682,2,2.0,84.0,0.0,20.0,25.0,2,14,2,14,0,0,128,0,3.0,10.57
789429,3,41.961929999999995,-87.66238,2,1.0,99.0,100.0,40.0,20.0,365,365,365,365,30,365,0,0,3.0,7.91
789867,1,41.96437,-87.67398,3,1.0,20.0,0.0,10.0,10.0,2,22,2,1125,30,90,220,40,2.0,4.83
790016,3,41.96046,-87.66346,5,2.0,299.0,200.0,60.0,30.0,365,365,365,365,30,365,16,0,5.0,16.31
790934,16,42.016529999999996,-87.68788,2,2.0,70.0,100.0,12.0,10.0,1,3,1,3,30,180,139,5,0.0,25.86
802613,2,41.92285,-87.68323000000002,4,2.0,175.0,300.0,100.0,25.0,1,1125,1,1125,29,364,57,1,1.0,14.31
810974,1,42.00184,-87.66951,2,1.0,50.0,0.0,20.0,20.0,2,30,2,30,30,365,114,23,3.0,8.6
818109,5,41.89513,-87.67399999999998,3,1.0,80.0,0.0,45.0,10.0,7,160,30,160,30,118,18,10,1.0,17.87
824518,1,41.90213,-87.67598000000002,4,1.0,95.0,1000.0,125.0,10.0,28,365,28,365,0,112,87,0,2.0,12.21
834943,1,41.962379999999996,-87.68378,4,1.0,90.0,100.0,50.0,20.0,2,1125,2,1125,20,276,54,28,5.0,10.11
841024,3,41.9443,-87.64661,6,2.0,239.0,0.0,100.0,100.0,32,1125,32,1125,30,365,15,0,3.0,13.55
863120,1,41.9217,-87.65959000000002,2,2.5,85.0,0.0,50.0,10.0,2,1125,2,1125,29,261,98,23,2.0,11.47
872247,2,41.85939000000001,-87.65271,3,1.0,125.0,500.0,0.0,0.0,7,1125,7,1125,29,114,163,7,0.0,44.15
873628,1,41.89397,-87.64975,2,2.0,150.0,0.0,0.0,0.0,3,180,3,180,23,173,88,7,4.0,5.64
887038,8,41.9263,-87.65567,4,1.0,150.0,200.0,200.0,8.0,32,300,32,300,30,365,36,0,3.0,3.95
903996,1,41.92649,-87.7138,2,1.0,110.0,0.0,20.0,0.0,2,1125,2,1125,3,263,145,18,1.0,10.2
909096,14,41.91105,-87.70926999999998,11,2.5,400.0,0.0,200.0,25.0,1,1125,2,1125,23,346,200,9,0.0,56.64
926142,5,41.99986,-87.67155,6,1.0,180.0,0.0,0.0,0.0,1,1125,200,1125,30,69,5,2,2.0,11.79
929914,1,41.91316,-87.63813,2,1.0,115.0,100.0,0.0,10.0,2,21,3,21,28,295,304,39,2.0,3.91
931105,1,41.88449,-87.69659,2,1.5,75.0,0.0,0.0,20.0,3,1125,3,1125,27,362,23,0,3.0,2.97
949514,1,41.90677,-87.66788000000004,2,1.0,50.0,0.0,0.0,10.0,3,60,3,60,0,0,133,18,2.0,5.23
960326,22,41.89505,-87.65449,8,2.0,302.0,998.0,150.0,60.0,1,1125,5,1125,30,351,265,50,2.0,2.28
966137,1,41.86755,-87.6788,6,1.0,269.0,500.0,0.0,20.0,2,1125,3,1125,30,90,40,0,3.0,13.95
979841,4,42.004979999999996,-87.66712,2,1.5,69.0,95.0,0.0,20.0,2,90,2,90,30,359,209,33,2.0,7.88
979926,4,42.00623,-87.66794,2,1.5,59.0,95.0,0.0,20.0,2,90,2,90,30,363,240,27,2.0,6.66
979942,4,42.004259999999995,-87.66693000000002,2,1.5,59.0,95.0,0.0,20.0,2,90,2,90,30,365,233,31,2.0,7.46
983640,4,42.003809999999994,-87.67081999999998,4,1.0,159.0,150.0,0.0,20.0,2,90,2,90,29,343,176,30,2.0,10.55
1020810,5,41.8943,-87.62609,2,1.0,100.0,800.0,80.0,0.0,30,365,30,365,30,316,30,5,6.0,5.17
1027405,4,41.85432,-87.70769,4,1.0,45.0,550.0,0.0,10.0,2,1125,2,1125,28,88,6,0,2.0,3.46
1027463,4,41.85423,-87.70784,4,2.0,45.0,550.0,0.0,10.0,2,1125,2,1125,29,89,10,4,2.0,3.35
1027741,4,41.85455,-87.70768000000002,4,1.5,45.0,550.0,0.0,10.0,2,1125,2,1125,28,88,19,17,2.0,3.77
1032943,4,41.819959999999995,-87.59978000000002,10,2.5,240.0,500.0,150.0,50.0,2,30,2,30,2,311,199,25,0.0,66.44
1056430,1,41.94376,-87.65164,2,1.0,79.0,0.0,45.0,0.0,2,30,2,30,23,315,320,31,4.0,8.13
1080532,4,41.93396,-87.64108,4,2.5,114.0,300.0,75.0,10.0,6,1125,6,1125,0,219,29,7,2.0,14.42
1083987,81,41.852779999999996,-87.62453000000002,3,1.0,85.0,0.0,80.0,0.0,30,1123,30,1123,30,251,21,1,2.0,1.83
1096191,1,41.97271,-87.65236,2,1.0,55.0,0.0,50.0,0.0,30,400,30,1125,0,225,45,6,4.0,7.19
1101458,2,41.88655,-87.77086,6,1.0,55.0,0.0,20.0,13.0,1,1125,2,1125,29,350,197,24,2.0,4.2
1113259,1,42.01761,-87.67987,2,1.0,55.0,0.0,0.0,0.0,1,1125,1,1125,29,358,132,43,2.0,9.26
1127661,1,41.91791,-87.70933000000002,2,1.0,59.0,0.0,0.0,25.0,2,45,2,45,26,85,238,41,0.0,46.63
1129741,1,41.88282,-87.72026,2,2.0,80.0,500.0,50.0,0.0,7,1125,7,1125,0,0,0,0,3.0,6.96
1171860,5,41.92628,-87.64026,2,1.0,50.0,0.0,0.0,15.0,7,65,7,65,22,27,532,58,0.0,59.59
1183249,5,41.9395,-87.64483,2,1.0,79.0,0.0,0.0,0.0,7,65,7,65,22,58,500,58,4.0,8.81
1185749,1,41.87086,-87.68305,6,1.0,99.0,0.0,75.0,30.0,3,90,3,1125,30,126,314,39,2.0,11.31
1195259,0,41.91095,-87.67783,3,1.0,135.0,0.0,50.0,30.0,4,1124,4,1124,30,360,180,11,3.0,1.65
1225964,0,41.93804,-87.64134,2,2.0,70.0,200.0,125.0,0.0,2,29,2,29,23,349,9,0,3.0,14.27
1229238,2,41.94735,-87.75761999999996,10,2.0,210.0,0.0,0.0,50.0,1,2,1,2,20,344,95,14,0.0,44.65
1229267,2,41.94556,-87.75419000000002,2,1.0,40.0,0.0,0.0,25.0,1,5,1,5,27,351,11,3,0.0,42.14
1249397,2,41.97009,-87.67423000000002,5,2.0,130.0,0.0,0.0,0.0,1,1125,1,1125,0,157,11,1,2.0,9.66
1296053,4,41.82147,-87.60086,2,1.0,75.0,200.0,40.0,10.0,1,1125,1,1125,29,87,27,0,0.0,64.14
1296218,4,41.82184,-87.60129,2,1.0,75.0,200.0,40.0,10.0,1,15,1,15,29,87,23,1,0.0,63.51
1304049,1,41.8719,-87.68486,2,1.0,100.0,0.0,25.0,25.0,1,1125,1,1125,30,365,103,7,2.0,8.07
1321332,1,41.92913,-87.66920999999998,16,3.5,395.0,800.0,190.0,35.0,2,60,4,1125,27,341,74,11,0.0,69.11
1325769,1,41.91355,-87.63675,1,1.0,198.0,200.0,80.0,50.0,1,30,1,30,29,89,23,2,1.0,6.13
1333431,4,41.82179,-87.59985999999998,6,1.0,200.0,400.0,75.0,50.0,1,15,1,15,30,348,6,0,0.0,64.82
1356190,1,41.92083,-87.68896,2,1.0,90.0,0.0,0.0,25.0,1,1125,1,1125,29,323,304,92,2.0,7.6
1361421,5,41.9459,-87.65460999999998,2,11.0,80.0,0.0,0.0,0.0,1,14,1,14,22,357,28,10,4.0,3.92
1369384,1,41.95564,-87.71154,2,1.0,60.0,0.0,5.0,15.0,2,7,2,7,0,140,125,0,1.0,20.0
1392594,1,41.96952,-87.67239000000002,8,2.0,168.0,0.0,75.0,25.0,3,28,3,28,4,195,24,3,2.0,10.43
1427950,1,41.98496,-87.66806,2,1.0,120.0,500.0,50.0,0.0,3,31,3,31,0,0,79,13,4.0,11.01
1428589,4,41.82781,-87.60523,3,1.5,50.0,200.0,25.0,25.0,1,1125,1,1125,24,350,273,17,0.0,74.58
1434078,4,41.92989,-87.64103,6,1.5,380.0,150.0,50.0,35.0,12,1125,12,1125,27,362,14,1,2.0,17.2
1461451,16,42.016529999999996,-87.68788,1,2.0,25.0,100.0,12.0,0.0,1,1125,1,1125,30,180,151,14,0.0,25.86
1468342,1,41.81266,-87.61586,2,1.0,65.0,150.0,30.0,20.0,2,7,2,7,29,360,123,18,2.0,8.18
1475647,16,42.016529999999996,-87.68788,1,2.0,25.0,100.0,12.0,0.0,1,1125,1,1125,7,157,97,16,0.0,25.86
1502674,10,41.91307000000001,-87.64012,5,1.0,158.0,0.0,125.0,25.0,4,180,4,180,23,335,36,17,2.0,4.64
1502700,10,41.91406,-87.63934,10,2.0,425.0,0.0,195.0,25.0,4,120,4,120,21,319,16,3,2.0,5.42
1541692,1,41.82936,-87.6048,2,1.0,55.0,0.0,60.0,25.0,3,7,3,7,22,353,94,17,0.0,71.38
1554433,1,41.71348,-87.67195,2,1.5,90.0,0.0,0.0,0.0,2,1125,2,1125,27,362,162,21,0.0,60.76
1573401,4,41.85763,-87.66235999999998,4,1.0,65.0,0.0,35.0,10.0,2,14,2,14,0,194,187,61,1.0,9.69
1584422,7,41.90607,-87.6488,10,3.0,344.0,0.0,125.0,25.0,3,21,3,21,0,0,26,3,2.0,6.63
1584509,2,41.90697,-87.62941,11,5.0,475.0,3000.0,300.0,150.0,2,1125,2,1125,25,307,53,8,2.0,5.93
1587078,5,41.91638,-87.68422,4,1.0,149.0,1000.0,50.0,40.0,2,1125,2,1125,29,336,293,34,2.0,6.31
1591370,1,42.01114000000001,-87.67634,6,1.0,90.0,500.0,50.0,20.0,2,29,2,29,30,359,93,25,3.0,13.48
1614802,1,41.93455,-87.66141,3,1.0,60.0,0.0,0.0,10.0,4,90,4,90,28,293,271,43,3.0,10.66
1623463,1,41.858999999999995,-87.6462,6,1.0,135.0,250.0,50.0,25.0,2,31,3,31,29,89,40,11,0.0,37.87
1641601,1,41.97282,-87.67257,2,1.0,69.0,150.0,25.0,10.0,2,120,2,120,30,348,275,35,1.0,14.83
1648786,1,41.728359999999995,-87.6136,4,1.0,32.0,0.0,0.0,10.0,2,30,2,30,22,348,84,19,2.0,19.66
1656336,2,41.82516,-87.67456,4,1.0,95.0,200.0,50.0,15.0,1,30,1,30,16,339,269,33,1.0,11.68
1663673,6,41.89322,-87.68571999999998,4,1.0,99.0,0.0,75.0,25.0,2,1125,2,1125,29,175,317,46,1.0,27.57
1668481,1,41.89665,-87.69719,4,1.0,82.0,200.0,40.0,15.0,45,185,45,185,0,9,109,1,0.0,83.15
1672647,1,41.99892,-87.67322,7,1.0,109.0,0.0,0.0,10.0,7,365,7,1125,17,339,224,24,1.0,15.06
1678422,3,41.93465,-87.65754,2,1.0,75.0,250.0,65.0,50.0,1,8,1,8,30,90,28,2,3.0,6.44
1721045,6,41.890029999999996,-87.66254,2,2.0,71.0,110.0,30.0,15.0,1,60,1,60,30,345,94,22,3.0,13.31
1746734,2,41.79984,-87.59465,2,1.0,101.0,0.0,50.0,0.0,2,1125,2,1125,30,332,337,32,0.0,76.85
1755737,0,41.94036,-87.64068,2,2.0,155.0,3500.0,250.0,0.0,365,730,365,730,28,363,0,0,0.0,82.25
1759266,2,41.93396,-87.65897,6,1.0,250.0,250.0,75.0,0.0,3,365,3,365,0,269,32,2,4.0,7.36
1759389,3,41.848009999999995,-87.68127,1,1.5,70.0,0.0,35.0,0.0,2,180,2,1125,8,319,120,14,2.0,12.8
1778910,11,41.85675,-87.65501,10,1.0,69.0,0.0,19.0,19.0,1,365,1,365,30,177,476,86,0.0,48.38
1784523,1,41.93998,-87.70272,4,1.0,99.0,0.0,40.0,0.0,1,365,2,365,29,66,115,20,1.0,10.78
1810118,1,41.77892,-87.59886,3,1.0,59.0,0.0,0.0,15.0,1,1124,2,1124,28,88,327,50,1.0,8.87
1837153,1,41.79963,-87.59477,2,1.0,115.0,0.0,0.0,0.0,3,1125,3,1125,3,329,45,2,0.0,77.15
1852665,81,41.88575,-87.65052,3,1.0,200.0,0.0,0.0,0.0,60,1125,60,1125,0,265,0,0,3.0,1.35
1854000,1,41.932829999999996,-87.64315,2,1.0,225.0,0.0,90.0,25.0,1,1125,1,1125,30,365,151,0,4.0,11.4
1900901,3,42.004,-87.67503,1,1.0,80.0,0.0,20.0,0.0,3,90,3,90,16,330,27,0,1.0,17.12
1917311,1,41.86991,-87.62856,2,1.0,200.0,100.0,100.0,0.0,3,30,3,30,30,100,23,0,7.0,5.83
1921670,2,41.94663,-87.70783,4,1.0,90.0,0.0,70.0,30.0,2,365,2,1125,1,312,229,25,2.0,11.84
1944802,81,41.85453,-87.62052,4,2.0,190.0,0.0,0.0,0.0,60,1125,60,1125,30,365,14,0,2.0,7.92
